Treatment,Outcome,IV1,IV2,,
3.257020492,3.605451434,0.176117157,0.467981897,,
5.61551604,5.962727957,0.444050596,4.453315834,,
3.463729317,8.597705641,0.52321088,2.269435429,,
4.681085917,5.446051432,1.752431546,1.578416955,,
10.4334272,10.49205066,0.870116577,8.637340674,,
3.297002116,3.458997249,0.116679964,0.685686361,,
6.655377339,9.393840263,5.837210769,0.202265528,,
6.289852525,8.241444812,4.262270917,0.812048893,,
4.519866885,6.310670337,4.519944305,0.029021513,,
0.6858221,0.700683677,0.064266201,0.375697102,,
6.352676569,9.602644691,6.467737385,0.199863448,,
0.873121494,1.290528225,0.870558381,0.297112604,,
15.76396878,21.98488594,13.4999786,0.657416213,,
3.837854611,5.522271655,2.51284216,0.887363088,,
2.335022168,2.904353196,1.786323101,0.763441088,,
2.090759895,2.712124358,1.37880573,0.392601987,,
0.69805804,0.717383035,0.260545311,0.456279305,,
1.162410472,2.277836656,1.311099706,0.144664503,,
6.188041932,7.475594278,3.631612916,0.584006912,,
2.123229757,3.199656793,2.064264399,0.100892262,,
1.533517557,1.665790351,0.420828112,1.098552774,,
17.45105893,24.46301499,14.94886913,0.357451822,,
1.270602904,1.475681845,0.139575669,0.650702927,,
1.304926645,2.2903975,0.139249704,0.993855265,,
5.040475044,8.297222761,3.836517556,0.897331852,,
1.555283226,2.431932272,1.266172687,0.049594948,,
0.655194086,1.965026067,0.224050135,0.303650867,,
3.219137596,4.48965346,0.541990721,1.844734584,,
1.950050238,2.043800825,0.245570994,1.51140158,,
1.732340728,2.34267248,1.376212459,0.191213609,,
2.054281613,3.64910423,0.86655808,0.962773819,,
2.719808764,4.61141635,2.29329895,0.153167527,,
1.433516645,2.191802676,1.037956404,0.058392666,,
4.196239519,4.243913042,0.214322241,2.485579218,,
5.767664012,8.222761285,5.184790324,0.017784127,,
3.740960263,5.253855379,1.939086732,1.224500405,,
0.504689161,0.825328073,0.20111463,0.157746222,,
1.581490442,2.540931647,1.43009172,0.00288015,,
4.686491877,13.771123,2.542089486,0.05128396,,
1.592859895,1.661513723,0.34198384,0.455431876,,
3.802580531,3.88713918,0.178355738,3.066428388,,
23.79945239,26.89478874,6.110825471,9.623790269,,
2.025091854,2.499475359,1.108886765,0.985844718,,
7.484913798,8.939436868,3.429201656,1.177262898,,
0.905409543,1.008681981,0.896982916,0.23076074,,
5.451519635,5.477895478,2.322685519,3.590151641,,
10.33540427,14.25832268,8.570786701,0.114295187,,
4.007865965,4.136661491,0.686492878,2.973254767,,
3.716588841,4.026873423,0.756499957,2.082637536,,
2.299368221,3.504181734,2.101021507,0.267530524,,
2.764496529,3.005494375,0.286246265,0.744032418,,
7.539780952,8.417740242,2.472679627,4.396942108,,
14.19529261,18.15149358,5.775452288,6.780094646,,
3.007404916,3.28502973,0.382269146,0.690722622,,
9.814271017,13.89205627,9.11025364,0.196457632,,
2.080939424,3.511422202,0.062719986,0.230100993,,
3.700791133,5.716860545,3.237509588,0.055607258,,
5.255403304,6.501415741,0.672490013,3.402844963,,
5.615126641,8.727687681,5.158228636,0.582215209,,
5.932489383,7.074601288,3.918145859,1.943983495,,
5.390612369,6.432471087,3.46563597,2.014183506,,
5.769118729,5.902368862,8.492556647,0.023084386,,
1.883109667,6.197797212,0.129664809,1.292352969,,
3.274365642,4.294582386,0.644638652,1.951860371,,
9.20991652,12.22359803,6.192700751,1.996887817,,
0.154676329,0.277966727,0.039432306,0.019146159,,
4.726338038,6.462479002,3.445815541,0.564580939,,
24.28483022,33.84709544,21.23762405,0.362654967,,
1.350985173,3.915118616,0.526700455,0.878062293,,
6.802176088,9.352474791,5.094082161,1.741046559,,
1.58281775,1.965485104,0.839189341,0.615990262,,
2.088151786,2.323822002,0.488512172,0.505100794,,
4.419972675,6.921510479,3.972663215,0.01484663,,
2.384878346,2.400773042,0.202767162,0.007704181,,
4.00370837,5.379127487,2.748504886,0.715120643,,
1.677855356,1.820065921,0.305601076,0.5014479,,
4.922194932,4.938568,0.929213567,2.385759383,,
0.658208471,0.927800773,0.503231304,0.046039736,,
11.44117298,15.47347104,8.228515417,1.121495223,,
8.763261151,9.131057737,0.802649142,5.667295684,,
8.537036243,11.36369599,6.10825941,0.065837097,,
9.29872296,10.94509456,3.583689751,4.440786657,,
7.571675966,11.12415489,6.516277543,0.038265823,,
7.604782209,10.39832811,6.357755625,0.519765585,,
8.506153834,8.965020851,0.991065795,6.392704921,,
5.998053531,7.026698621,1.329727909,2.588246966,,
12.51917104,14.58661221,4.354324797,6.49189874,,
2.769286773,3.286383397,1.635732771,0.057527107,,
2.197623731,4.099828512,1.035512403,0.969279361,,
12.80796757,21.12460899,12.45854834,0.232274553,,
2.028642087,2.777274128,0.027935994,0.426975657,,
11.69665622,15.47516368,9.896375268,5.171811351,,
1.620277482,2.156508431,1.348849469,0.504344554,,
6.06641632,7.286732412,2.88048962,1.472989054,,
2.105486741,2.82878881,0.263876674,0.935603766,,
2.825690567,3.414028153,0.491873244,0.579079222,,
4.059433548,5.465435298,2.040834231,1.569262366,,
1.225492692,1.530653484,1.40221724,0.033167538,,
8.075907136,10.30078098,5.312192827,2.042442992,,
2.400768326,2.806429156,0.89725468,0.135561083,,
0.9729982,1.528349827,0.373076331,0.398743795,,
4.907367587,6.608125732,3.692581931,0.096426497,,
0.859311808,2.048215353,0.838708001,0.002227162,,
2.812992946,4.000573023,2.097910928,0.45672011,,
1.657472196,1.754573187,2.995750104,0.01852245,,
1.922562928,5.288308578,0.691569661,1.18942219,,
1.998294587,4.157743877,1.219374661,0.449511265,,
0.652126124,1.027097777,0.584797328,0.005993557,,
4.643044847,7.082883939,2.481899832,1.31497987,,
15.6787784,21.05169915,12.07875517,1.474954233,,
3.73178153,4.389349258,1.522400635,0.977777718,,
1.676598708,4.851673063,0.064386971,0.894879706,,
12.6724745,16.39448456,8.396314274,1.087811783,,
11.08101666,12.69434595,2.400021095,6.91193809,,
1.172898238,1.427027401,0.981550078,0.157430624,,
0.761795821,2.146075418,0.939294974,0.011689873,,
10.59678966,15.63360193,8.215776903,0.777100382,,
5.770573892,7.880630042,3.161828076,1.788365536,,
2.552227221,2.884691421,0.75946955,1.488604972,,
2.480743191,3.771584099,1.735118774,0.133421287,,
7.10078324,7.114321923,3.336079464,4.234211935,,
2.012592939,3.027129747,0.110601246,1.615489406,,
0.833092515,1.054553664,1.056773668,0.058952242,,
5.528079591,6.21806846,1.908073098,2.332721902,,
1.460817996,2.083976091,0.230487269,0.759454985,,
8.755635539,11.94859971,6.766043209,0.899025874,,
6.888586142,8.57796646,3.061916218,2.689828484,,
1.939244371,2.474529077,1.09001583,0.800535563,,
1.238028532,4.085812217,1.274514134,0.0026188,,
1.061843541,2.205281986,0.629646932,0.345556134,,
18.64851192,22.90370198,8.948127537,7.517045843,,
0.206289146,2.263057671,0.011463222,0.170958372,,
5.289404053,10.57275473,3.396924601,1.566940585,,
4.598238547,6.925021033,3.278448029,0.827613004,,
0.311987583,0.527254711,0.190541871,0.012280976,,
1.688312134,3.854449843,1.640402352,0.044475668,,
5.445359444,7.346026201,4.89879483,0.133167074,,
1.228586155,1.583763275,0.050145613,0.97883708,,
4.447894691,7.350914323,2.518139738,1.909136074,,
1.788640636,2.312143985,1.563784733,0.283828503,,
2.538770901,3.464246648,1.6291559,0.385158566,,
3.478862233,3.703451106,3.942769197,0.201026214,,
4.874414166,9.151589624,4.128027255,0.181112567,,
15.25420123,22.45643072,13.25527128,0.066555369,,
1.459039377,1.977841229,1.178865138,0.238577963,,
1.250467902,2.955595802,0.645300775,0.282679839,,
6.167881789,7.899589584,0.675018542,3.947798178,,
2.100571982,2.53388198,0.520600736,0.923805856,,
3.005714383,4.831940203,2.076911804,0.722412665,,
1.98013906,2.712017288,1.251827135,0.467610737,,
4.129675731,7.209382687,3.74515398,0.012362406,,
7.005523502,10.43823608,5.800426418,0.140538202,,
