Outcome,Treatment,IV1,IV2
0.023773718895865215,0,0,1
4.828334313451279,1,1,0
0.16582344560800644,0,0,1
2.328594023242432,0,0,1
1.1506686840214768,0,1,0
5.762974666571897,1,1,0
0.39649310310564345,0,0,0
4.9668926120838215,1,1,1
4.058573051964242,1,1,1
1.8384056661541155,1,0,1
6.636655010873223,1,1,0
4.706831186340172,1,1,0
2.429119987330536,0,0,0
3.9785485234893603,1,1,1
1.0959081049852069,0,0,0
0.42810426163843696,0,0,1
1.9666949258844242,0,1,0
3.470923584703446,1,1,0
3.2430520568469614,1,0,1
3.744903757466111,1,0,0
3.9104927021840297,1,0,0
1.2214524653185157,0,1,0
5.442226644758118,1,1,1
0.1642896134470248,0,0,1
3.6108519861072645,1,1,0
3.971601608653102,1,1,0
1.7611679030914975,0,1,0
4.530833284439385,1,1,1
2.0864306017891447,0,0,0
-0.11164205789996584,0,0,1
-0.2258367829816358,0,0,0
0.39353560927999104,0,0,1
5.461301693145556,1,1,1
0.3617406409123846,0,0,0
3.575181596520035,1,1,1
3.451071240703037,1,1,1
1.0314038079246437,0,0,0
1.7693773020854713,0,0,0
0.3518830564818892,0,0,1
0.6136832038034223,0,0,1
1.7386283484723621,0,1,1
6.835324044140691,1,1,0
1.0468858898044553,0,0,1
-0.29651644767988644,0,0,0
0.860355082302096,0,0,1
1.0624897026911735,0,0,0
5.947019054680524,1,1,1
4.7467079735891655,1,1,1
1.0409247699705952,0,0,1
0.6852691613318769,0,0,0
2.7559190693326245,1,1,1
0.34735002605599385,0,0,1
3.0500664601114975,1,0,0
5.0869824885351,1,1,1
4.08662716050511,1,1,1
0.4651717907486189,0,0,1
0.4004033932853045,0,0,1
2.8537096828721267,1,1,1
5.093462037046569,1,1,0
4.05031805394189,1,1,0
-0.3555160075741604,0,0,1
1.3368102603388017,0,1,1
4.439721917213211,1,1,0
-0.3839729874927652,0,0,0
0.25815190885431116,0,0,1
1.8353772685330054,0,0,0
2.7572111060405944,0,0,0
4.224089684031126,1,1,1
4.5654368385680275,1,1,1
2.4532269720074593,1,0,1
2.8497358675488225,1,1,1
3.7896063797447823,1,1,1
3.945814657364695,1,1,0
0.6375721690003334,0,0,1
3.7311790476027342,1,0,1
1.9504172162052398,0,1,1
4.052761195349962,1,1,0
4.407708951018501,1,1,0
4.577006756235566,1,1,1
0.38075127157218724,0,0,1
3.680172841347062,1,1,1
3.4934832703897927,1,1,1
1.9710503712066298,0,1,0
0.6188261595148364,0,0,1
2.805050657669531,0,1,0
0.38949981565009506,0,0,0
2.2860571798280356,0,1,1
3.5742327564274925,1,0,0
3.241658873181906,1,1,1
3.4543131184119202,1,1,1
3.221718275745746,1,1,1
0.49172651512999765,0,0,0
3.711916533861844,1,1,1
3.960623035980793,1,0,1
1.6312036201684674,0,1,0
4.054861421331592,1,1,1
2.052034443801636,0,0,0
1.1808129251872441,0,1,1
4.194384192570582,1,1,0
5.364667821488944,1,1,1
4.7995082874657164,1,1,1
0.4740351627374776,0,0,0
5.190325424169366,1,1,1
0.18659625519959866,0,0,0
4.943442325594732,1,1,1
2.765148552682464,1,1,1
5.808233842444052,1,1,1
1.7609225450983375,0,1,1
0.1411246326903936,0,0,1
4.5264618981343,1,1,1
4.276160300367784,1,0,0
4.407585326587544,1,1,1
5.079768366222064,1,1,0
2.0919795767596128,1,0,1
0.4400510256584804,0,0,0
0.862494276957873,0,0,0
4.771912062063612,1,1,0
1.0072410298043784,0,0,1
1.0085633948413435,0,0,0
4.14657609764309,1,1,1
3.2422047048222984,0,1,0
0.040922549220063,0,0,1
-0.2528597499293017,0,0,0
4.203115744324516,1,0,1
2.5771677633352907,0,0,0
0.7028609368440341,0,1,0
4.739098497777539,1,1,1
-0.42193414118652456,0,0,0
2.8763134258814063,1,1,1
2.9743528070440615,1,0,1
1.345651644725317,0,1,1
2.425305281484354,1,1,1
-0.5390489759953792,0,0,0
0.9764699440247793,0,1,1
5.191453704913034,1,1,1
-0.6160710077309393,0,0,1
-0.7933809970621306,0,0,0
4.020802196869251,1,0,1
6.903981939569266,1,1,0
5.1794954211326605,1,1,0
2.0122154684293267,1,1,1
0.8809637773388064,0,1,1
4.2370530809166524,1,1,0
0.5972482290531241,0,0,0
3.6592879069674344,1,1,0
4.561900494928397,1,1,1
5.405061443698362,1,1,1
2.139656191368946,1,1,1
4.204381238099331,1,1,1
1.746115822119799,0,1,1
3.51328887267839,1,1,1
0.6418515536937751,0,0,0
1.1492744138985422,0,1,0
3.3212011757402493,1,1,1
1.0708778180400986,0,0,1
3.947759421538274,1,1,0
1.1695368545313112,0,1,0
0.1724866002018827,0,0,0
3.656608449761399,1,0,1
4.595472379273755,1,1,0
5.887065365422579,1,1,1
0.5622468547076125,0,0,1
2.623567513806251,1,1,1
1.6718620606043717,0,1,0
4.824708355929696,1,1,0
0.27288229020695204,0,0,1
0.24538742532042712,0,0,0
0.9502247179011142,0,0,1
2.5641267896976294,0,0,0
5.2112124853423865,1,1,1
3.9961347718837086,1,1,1
0.20208436192900153,0,0,0
0.07766693913032546,0,0,1
0.2626789517119072,0,0,0
2.711810799717533,0,1,0
3.2739112781632893,1,0,1
1.2332855574798138,1,0,1
3.955307976502819,1,1,0
1.2531460828991756,0,1,0
0.8050850167963158,0,0,1
2.090685426809901,1,1,1
4.70135811123732,1,1,1
1.649175688809109,0,1,1
1.417423288450739,0,1,1
