Treatment,Outcome,IV1,IV2,,,
0.812770126,2.823842383,-1.08907144,-0.692803366,,,
-1.836956551,-2.1963508,-1.459466409,0.105963349,,,
-1.436454119,-2.233121429,0.481389889,-0.228441462,,,
-2.225357455,-2.81185928,-0.43069177,-0.141140298,,,
-0.377189292,-0.278994646,-1.556081226,0.314772352,,,
0.659415244,-1.384432995,0.156962086,0.986571583,,,
-0.149863017,0.113881866,-1.595335523,0.148122236,,,
-2.718897117,-3.307836924,-1.284272008,-0.819454261,,,
-1.14070868,-0.929190945,-2.274461893,0.801249049,,,
-2.895103115,-3.026610469,-0.942909627,-0.661064352,,,
-2.389218331,-3.658555282,-0.050502398,-0.620133532,,,
-2.864721644,-3.468601229,-2.940621758,-0.809226134,,,
-1.424744445,-1.32920211,-1.316753458,-0.828508673,,,
-0.612637258,-1.921235664,-0.570179649,0.358457086,,,
0.685686183,1.206835754,0.217412975,-0.640683365,,,
-0.250886476,-2.322413631,0.135660155,0.34101398,,,
-2.187081269,-3.845064723,0.187365169,-0.326768866,,,
-3.096246958,-3.856395163,-3.596263957,0.465746446,,,
-0.502472726,-0.773281178,-1.690893081,0.209327145,,,
-1.189804742,-3.739885136,-0.823056543,0.872969393,,,
-1.017382965,-0.39066646,-1.716370799,0.934041172,,,
-2.517030499,-1.97769527,-2.693813912,0.726609671,,,
-2.8865287,-3.132439971,-2.779747068,-0.383397442,,,
-1.863005769,-4.356604668,-0.362223391,0.769487911,,,
-0.03576608,1.793823847,-1.121001943,0.110921113,,,
-1.446435212,-2.240979113,0.018762751,0.502554112,,,
-2.488250487,-2.318522003,-2.571749756,0.193409756,,,
2.663350897,4.763073715,-0.059785955,0.219840237,,,
-1.349672375,-0.345438946,-2.698388704,0.400287318,,,
-3.04261367,-3.399099009,-1.280090581,-0.417913152,,,
-0.450300439,-1.908211098,-0.977052255,0.427059319,,,
-0.788236912,-1.871261901,-2.241180893,0.883161071,,,
-2.562572126,-4.570776449,-0.828987984,0.581380656,,,
-0.992153825,-2.12356448,-0.705043617,0.666941132,,,
-1.716857258,-1.822191078,-0.450242528,-0.799962264,,,
1.766837793,3.378146946,0.90814553,0.000475915,,,
-3.730887608,-3.340325007,-3.540422429,-0.228345223,,,
-2.915231471,-1.903880099,-2.684844118,0.374234859,,,
-0.448628314,0.481870395,-0.539753065,-0.505021763,,,
-4.376607333,-3.637345382,-3.053855921,-0.633848342,,,
0.841455076,1.755441081,-0.602272637,0.606499204,,,
-1.613939991,-3.857187232,-1.325482643,0.368325421,,,
-3.068943791,-4.449088226,-1.579177135,-0.965682842,,,
-1.511921554,-3.102176315,-0.463150042,-0.707340148,,,
-4.77500037,-4.77436089,-3.809232459,-0.740554877,,,
-2.398854341,-3.822942744,-0.74985206,0.238647386,,,
0.042075757,1.543011848,-0.260668532,-0.689513045,,,
3.618973041,5.64508939,0.439318319,0.619221496,,,
-0.480232667,-1.518099262,-0.630188189,0.464504404,,,
0.111752901,-1.887073631,0.123482269,0.889441197,,,
0.046848731,-1.565760345,0.647642745,0.975592225,,,
-1.702045141,-1.524453808,-1.921142873,-0.613589681,,,
-1.577576783,-3.615685807,-0.132615832,0.200753118,,,
1.667804638,3.593532004,0.575921456,-0.896369015,,,
2.093913902,4.300479369,0.577460735,-0.176532257,,,
0.273856089,-1.147350922,0.339984846,0.508575182,,,
-1.911550012,-1.286281088,-1.496461449,0.449898791,,,
-0.922877317,-2.400228784,-0.26209014,0.752563639,,,
0.00959686,1.365185395,-0.889138138,-0.451473969,,,
-0.878915875,-0.010042057,-2.034034952,0.368919599,,,
-3.532011549,-3.122868054,-2.978170977,-0.956087285,,,
-1.68166942,-1.41981593,-1.816276477,-0.434209619,,,
3.779873575,4.906837862,0.666878717,0.403207999,,,
-1.78481818,-3.954478116,0.228935998,-0.331171884,,,
-0.178412037,0.005413951,-1.094951211,0.9135557,,,
-1.584473255,-2.922792229,-0.968475943,0.267337673,,,
-0.957348338,-0.224395484,-0.677585708,-0.534594846,,,
1.647225214,2.579660173,-0.69964925,0.904065493,,,
-4.263070811,-3.809644366,-2.745473062,-0.981804011,,,
0.014713218,-0.706453448,-0.208359362,0.997854517,,,
-0.573836839,0.905519667,-0.890147797,-0.914084743,,,
0.375867411,1.188998182,0.135240083,-0.210575485,,,
-2.037355376,-3.166807955,-0.037499874,-0.787450236,,,
0.829099634,2.500993444,0.225680944,-0.837009295,,,
-2.933167874,-2.219736812,-3.00390842,0.407085248,,,
0.920234904,1.43618452,-0.083797722,-0.616747175,,,
-1.300577159,-4.034241676,-0.600508487,0.694289739,,,
-0.330751977,-0.636090076,-0.983069841,0.378887979,,,
-0.522201861,-0.559006293,-1.046478887,0.945935487,,,
1.276893989,3.375733689,-0.70346586,-0.626335382,,,
-3.0326594,-3.410100996,-2.270723927,-0.783563229,,,
-1.952163135,-1.599650331,-2.153142887,0.326408197,,,
-1.753653275,-2.367597165,-1.347984335,0.591925629,,,
-2.657947487,-3.036403761,-2.556722093,-0.689107042,,,
-0.462309976,0.354225713,-1.034888554,-0.865648468,,,
-2.156516737,-3.457889661,0.33257181,-0.769474949,,,
