Outcome,W1,W2,W3,W4,W5,Treatment,IV1,IV2
0.546521703,-1.310722665,-0.303368715,0.445628774,-0.618655942,-0.254142703,0,0,0
1.349555021,-0.076855718,0.27196913,-3.736696417,2.45905697,0.849123334,1,1,1
0.152664911,0.499858302,-0.203353587,-1.17382634,-0.580529083,0.092794532,1,0,1
-0.051205352,-0.56098461,0.133376529,-1.388439161,-0.919393143,1.026950032,1,1,0
-0.955415681,-0.670326118,1.114561527,-1.141254007,-1.096223344,1.23661603,0,0,0
1.223004269,0.409939426,-1.346308925,1.659280941,-0.828822743,-0.616910167,1,1,1
-1.499806317,-1.816733802,0.94100162,0.336566874,-0.719412822,0.788966023,0,1,0
-0.08946967,0.406717097,-2.075304205,-0.21601668,-1.075448743,-0.562583206,0,1,0
-0.449575892,-0.943803085,-0.173327987,0.48361317,-0.436316861,0.049600355,0,1,1
-2.500000645,0.292996753,-1.913620253,-0.155512308,-1.205467819,0.024704857,0,1,1
1.36844462,0.47156346,-0.821645288,-1.482045676,2.761015449,0.59124367,1,0,0
-0.37346557,-0.070072296,-0.199833807,-0.95582658,0.963152605,1.088406492,0,1,0
-2.165564009,-0.877106036,1.327518563,0.772459943,-2.003751372,1.511458446,0,0,1
2.219943207,1.274669081,0.310178209,-0.603096271,1.511658594,-0.315038065,1,1,0
-0.925804167,1.0930065,-0.964255831,-0.277793176,-1.023663676,-0.300728428,0,1,0
4.107205814,1.007976202,0.083656704,-2.394499899,1.586532866,-0.370666558,1,0,0
0.086525596,-0.222666224,1.027304226,-0.605801916,-1.435581526,1.458352388,0,1,1
-1.059376797,-0.420720097,0.83048436,-0.191204362,-1.543584973,-1.333813891,0,1,1
-1.123858578,-1.440151649,-0.775860594,0.905949127,-0.013596345,-0.822115508,0,1,1
1.195267384,0.344364379,-0.067955783,0.770612464,0.39811814,0.379099925,1,0,1
0.400953892,-0.30768068,0.967286492,1.051289805,-0.6769503,0.402023104,1,1,0
1.951320941,-0.298618441,-0.306578442,-0.773449794,0.53081846,0.478208195,1,0,0
1.441815152,-0.46751138,-0.675463309,0.86685627,1.013233621,0.039656012,1,1,1
-0.208577777,0.001337361,0.188692813,1.976605198,-0.732335757,-0.154951544,0,1,1
1.841532917,2.00188722,-0.280337639,1.776563927,-0.207945028,-0.771696755,1,1,1
-0.672425903,0.89677564,-0.302170883,1.621072591,-0.733659298,0.047359925,0,1,0
1.642048067,-0.357244555,0.177846982,0.267432556,0.666369024,-1.665461001,1,1,0
-0.075047666,0.389916642,-0.601675369,1.683114473,0.083157039,0.147067306,1,1,0
0.994780293,0.239323468,0.296388464,0.289674788,0.004468642,0.505224489,1,1,1
2.199881102,0.106445996,0.05207082,0.111722121,0.368998032,-0.827844814,1,0,0
2.433628041,3.524387913,-0.367077189,-0.556488208,1.46103654,1.0069756,1,0,1
