Outcome,W1,W2,Treatment,IV1,IV2
0.728544836,2.290850338,-0.228112276,0,1,1
0.071101775,0.509833654,-1.296488308,0,0,1
-1.077124182,-1.316868121,1.322815762,1,1,0
1.477001579,-0.190543529,0.492012978,1,1,0
0.798971431,-2.022429775,-0.729496416,1,1,1
1.647906375,0.160236728,-0.21028402,1,1,1
-0.312286572,0.448681157,1.489959709,0,1,0
1.702388992,-0.815185034,-0.607072029,1,1,1
2.184038765,1.484525575,-2.361955057,0,0,1
1.028408238,-1.084202912,0.079094822,1,1,1
-1.064158896,1.950145838,-0.112206279,0,0,1
-0.565111981,2.112790736,1.422996895,0,0,0
-0.244042211,-0.307295098,0.505638363,1,0,0
2.062507367,-0.540429078,-0.830388754,1,1,0
-0.797449897,0.488803665,0.481466993,0,1,0
-0.055657597,-0.40412415,0.246558542,0,1,0
-1.159462939,-2.722934466,1.691370466,1,1,1
1.50003626,-0.359748736,-0.685173842,1,0,1
0.774856496,-0.001079224,-1.110001354,1,1,0
3.629738277,1.32735627,-1.334410797,1,1,0
2.420649176,0.047866359,-0.06874087,1,1,1
2.20394303,1.191518229,-0.724439325,1,1,1
-1.405231147,-0.650230006,1.066833677,0,0,0
2.030394038,-0.101645334,-0.486024952,1,1,0
0.402678965,-0.33954486,0.262435955,1,1,0
1.81313813,0.126051633,-1.209924774,1,1,1
0.006725961,0.22647594,-0.302746716,0,0,0
-0.772984569,0.916181116,1.338263081,0,1,1
0.629029511,1.157839,-1.367946207,0,0,0
0.021790338,-1.196539335,0.274004806,1,0,0
0.706009476,-0.274555672,-0.031705788,1,0,1
1.26446863,2.939606109,-1.239850034,0,1,1
-1.431068642,-1.922814173,0.247642207,1,1,0
-0.908058447,0.250685239,1.222391848,0,1,1
-1.045146774,-1.234010428,0.83134371,1,1,1
0.957427639,0.275546175,0.524103081,1,1,0
2.29517802,0.015586745,-1.471644818,1,1,0
-0.251096737,-1.620104387,0.3976,1,1,0
0.788118506,-1.089313402,-0.269921299,1,1,0
2.777750834,0.83228629,-1.510940571,1,1,0
-1.22193394,0.319974518,-0.102521698,0,0,1
2.899979422,0.097600775,-1.612785218,1,1,1
-0.318962525,0.573490934,0.132386102,0,0,1
-0.733451494,0.781254393,0.402575789,0,1,0
-0.888901874,-0.459845201,0.429708803,1,0,1
-1.084338484,-2.137876632,1.766809627,1,1,0
0.686747479,-0.776568824,-0.746813787,1,1,0
0.852285237,-1.58420847,0.730712043,1,1,0
0.284271101,-0.554874497,0.413343333,1,1,1
1.194570556,1.062777424,-1.046498329,0,1,0
0.90845789,2.414782418,-1.458374029,0,1,1
1.452747675,0.471612357,0.469486636,1,0,1
1.452476833,2.846820475,-2.254691183,0,0,1
-1.207657613,-0.189339147,1.494007609,0,0,1
0.841698674,0.792946138,0.089703752,1,1,1
0.626766997,1.257636395,-0.179797495,0,1,0
2.864825932,-0.234461202,-0.726616603,1,1,0
1.124899925,-1.050070626,-0.547028304,1,1,0
0.988454043,1.538527229,0.111949769,0,1,0
0.852907106,-2.588852228,0.235558418,1,1,0
0.179562016,1.230207131,-0.214630488,0,0,1
0.374038986,0.390033656,-0.103999553,1,0,1
-0.939776,-0.016762776,0.617948103,0,0,0
-2.142498425,0.624052344,2.16114129,0,1,0
0.601801052,0.712060437,-0.006731982,0,1,0
2.914081672,0.475148277,-1.152306072,1,0,1
0.963014228,2.151456681,-1.54988558,0,1,1
0.747918352,1.805797499,-1.469315755,0,1,1
1.809462211,0.75640508,-0.163546224,1,1,0
0.891161906,-1.332308615,-0.144612156,1,1,1
1.148144456,-0.488815553,-0.031118141,1,1,0
0.956682769,-0.05474894,-0.130636797,1,1,1
0.375073896,0.506627415,0.013679823,0,1,0
0.851128561,1.194699929,-0.752972471,0,1,0
0.414299117,-0.919727115,-0.921307205,1,0,0
2.531891387,-1.21605607,-0.861823197,1,1,0
0.154459443,0.94857958,-1.087237832,0,0,0
0.120631683,0.250119997,0.897264893,1,0,1
-0.88244945,1.030861004,0.818773341,0,1,1
-0.653224635,0.309745073,0.653732032,0,1,1
1.61946021,-1.40353022,-0.780520335,1,1,1
0.459252233,-2.236097987,-0.975339769,1,1,0
1.952815542,-1.750068345,0.541438249,1,0,0
-0.626147565,2.694523444,0.695797378,0,0,1
0.159633028,-0.037410503,1.0361225,1,1,0
0.718235726,-1.049562761,-0.358625417,1,0,0
0.108000169,-2.288445148,0.231825397,1,0,1
3.603225736,1.002492534,-0.943089452,1,1,0
0.977668666,0.721119004,-0.521548548,0,1,1
2.153182851,-0.378163821,-0.23966429,1,0,1
-0.01368356,-1.296407185,1.276378249,1,1,1
1.26642746,1.063546384,0.383954021,1,0,0
2.085862862,1.686799267,-1.364502805,0,1,0
0.027106964,1.571036088,0.389994288,0,1,1
0.030244956,0.333593816,0.652287856,0,1,1
0.549379237,1.154645134,0.040022619,0,1,1
1.301498642,0.83570744,-0.818311652,1,1,1
-0.275793878,-0.342954632,1.280811483,1,1,0
0.914312716,-0.735959835,1.25308216,1,1,0
1.663062378,-0.315454188,-0.6662254,1,1,0
-0.270532281,0.464924563,-0.047197451,0,1,0
0.090351617,0.352993376,0.505952737,0,1,0
1.163378031,0.060443236,-0.791313847,0,1,0
1.003490265,2.222187783,-1.534215922,0,1,1
0.686939178,-0.145952772,0.364341413,1,0,1
1.311217043,-1.11024585,-0.087107538,1,1,1
1.01246431,2.892547787,1.052723394,0,1,0
0.319541993,0.496695444,0.466141004,1,1,0
0.783102107,-1.199277127,0.680780462,1,0,1
0.717994726,-1.802700232,1.332175664,1,1,0
0.25616102,1.696630263,-0.945226674,0,0,1
1.037929565,0.365455734,-0.372231768,0,1,0
2.129099908,-0.556491568,-0.449291507,1,0,1
0.438189789,1.875659396,-0.137390776,0,1,0
0.416566642,-0.181267361,0.014153469,0,1,0
0.467994644,-0.916308418,0.211156949,1,1,1
0.360672851,-2.315268954,0.197364065,1,1,0
2.286699053,0.851236618,-0.785842448,1,1,1
0.061655182,0.931606635,0.665392399,1,1,1
1.020716264,1.461543756,-0.917366471,0,0,1
-0.270945145,-0.919961267,1.606035046,1,1,1
0.133619112,-0.946041604,0.466707083,1,1,1
0.292287292,0.365384859,1.110817159,1,1,1
-1.171672899,1.692029119,0.531583836,0,0,1
-0.025714985,-1.686634621,-0.069415275,1,1,1
-0.041386404,1.106699564,-0.557420325,0,0,0
1.738438205,0.4375387,-0.79518033,1,1,1
0.308989303,1.211827098,-0.405040267,0,0,1
-0.582362979,1.128838269,0.259416733,0,1,0
-1.282427768,-0.843165366,0.94670563,1,1,1
1.447303642,-0.853790518,-0.266450763,1,1,0
-1.693847642,0.760739693,0.612659545,0,0,0
0.38959858,1.857710534,-0.880921133,0,0,1
0.739926447,-1.046317693,-0.134439726,1,1,1
2.120612775,0.333944532,-0.620782227,1,1,1
0.80291383,-0.246569791,-0.547074674,1,0,0
0.531496954,0.355698557,-0.471071512,0,1,1
0.528762695,3.3256599,-1.570527054,0,0,0
-0.694276244,-0.028668831,-0.102529494,1,1,1
-0.111806894,-0.635819535,0.710410502,1,1,0
0.972242057,0.123790466,0.012269176,1,1,0
-1.168903546,-3.136600296,2.600377247,1,0,1
1.118519314,0.129130891,0.635691379,1,1,1
-0.010958274,0.938061846,0.233889788,0,0,1
-1.150964528,-0.216039423,0.676548477,0,0,0
-0.559344255,0.259208358,1.2528362,0,0,1
2.449857735,-0.606164657,-1.738892114,1,1,0
1.231384135,-0.820276561,0.614053869,1,1,0
-1.047375993,2.119177359,0.183438547,0,0,0
-1.163129125,0.669995117,0.795235933,0,1,1
0.846955758,-2.856118417,-0.077004829,1,0,1
-0.121585261,-1.629487592,1.781660467,1,1,1
0.380818788,-2.023039676,0.013469019,1,0,0
-0.519311937,-1.469844875,0.654901229,1,1,1
0.307032713,1.681382343,-0.007501278,0,0,0
0.529748834,0.773947227,0.045685387,0,1,1
0.30619943,-3.613950482,-0.376434134,1,1,0
1.643618816,-0.468289368,0.388819678,1,1,0
2.210818068,-0.137951916,-1.386578697,1,1,0
0.551311688,-1.787805469,-0.051757463,1,1,1
0.068682081,-0.730411374,0.473860458,1,1,1
2.657640358,2.089053529,-2.051684284,0,1,0
0.961620159,0.675319206,0.422830009,1,0,1
0.740446133,-0.647970974,0.070376699,1,0,0
0.17060976,-0.349377269,1.071935733,1,1,1
1.315145955,-0.580506403,-0.95367409,1,0,1
0.629879485,-0.851806773,0.718328781,1,1,0
