Outcome,W1,W2,W3,W4,W5,Treatment,IV1,IV2
1.082378223,0.588894053,0.889345153,-0.47048426,-1.920201866,0.463015586,0,0,1
2.350850034,-0.929269834,1.04649093,-0.088018513,0.248776482,-0.529195588,1,1,0
1.278882146,-0.266039608,-0.201106717,-0.26430513,0.980409075,-0.884409331,1,1,1
-1.912425659,1.938880383,-1.383167369,2.126545707,-0.112319376,1.404897215,1,0,0
2.349391998,-0.428156416,0.726478125,2.257328872,-1.581120032,0.639874265,0,1,0
-0.525512266,-0.510353735,-0.882991651,-0.530378925,0.19870049,1.261180333,0,1,1
-2.196930597,2.113842579,-0.487404527,-0.243764175,1.235372754,-1.207303515,0,0,0
0.341894686,0.298472981,0.162126029,0.668723146,1.940380715,1.654029688,1,0,1
0.179367226,1.286799185,0.467359991,-0.204754731,-3.491323033,-1.449891763,0,1,0
-0.466978298,0.258079343,-1.471348724,-0.641791276,0.924574109,1.014867235,1,0,0
-0.424133383,0.441507931,-0.687119345,0.280833741,1.562175231,-0.112006903,1,1,0
1.65643101,-0.251683011,-0.640303078,0.049943617,0.624911404,-0.150293708,1,1,1
1.491846982,0.2170775,-0.217612753,0.825473273,0.091502275,-0.58241618,1,1,1
0.787018162,1.851858437,1.15024364,2.134673351,1.725269189,0.647865802,1,1,1
-0.532066015,0.069140302,0.837639993,-1.306050617,-0.792078907,0.909788273,0,0,1
0.641474606,-2.384480024,-1.727279679,-2.27050439,0.039323765,-0.327645752,0,0,1
0.485411703,-0.039673259,1.201962607,0.676743992,-0.340744093,1.101694753,0,1,0
1.5958043,-0.725848456,0.334472393,1.032661934,0.932648878,1.230566725,1,1,1
-2.076948619,1.158819665,-1.500136792,1.190039548,-1.429427431,2.423449519,0,0,1
-0.802667322,0.32128813,0.113096993,-0.496789521,1.34873035,2.678239728,0,0,1
0.832036777,-1.258312176,0.239261312,-0.265411781,1.399954474,0.715409423,1,1,0
-2.193445037,1.570723103,-0.509054182,0.773499582,-0.469947302,0.968508569,0,1,0
3.937865513,-1.19758656,0.884627666,1.105547777,-0.347602551,-1.774713729,1,1,1
-0.582172723,0.918226207,-0.707965652,-0.303184689,0.665059063,1.149153303,0,1,0
0.848610793,-0.06115803,1.298236918,-0.404508992,-1.081954491,-1.83998932,0,1,1
-1.739351736,0.537274827,-0.321303736,0.226858879,-0.132639636,1.828869025,0,1,0
1.348856802,-0.570326663,-0.309041468,0.478643679,-2.446544904,2.463949654,1,0,1
-2.000508329,1.756973327,-0.423778351,0.408031205,0.017049042,2.073284605,0,1,0
0.109069151,2.351505595,-1.139415617,1.384681524,-1.66319152,-0.343327021,0,1,0
-0.441577338,-0.723677584,-0.338802317,-1.996279343,2.708740533,0.820170915,1,1,0
1.420358461,-1.062997508,-0.673468814,0.168941563,0.986377806,-0.507973431,1,1,1
2.879542765,0.418340946,-0.765412572,2.008915866,0.177083393,-0.427457786,1,1,1
-1.43229305,1.766644322,-2.401202622,1.301200826,1.464016678,0.427731442,1,1,0
2.20177991,0.92746119,0.758470339,1.809068875,0.048123471,-1.768592879,1,1,1
2.032754406,-2.24673212,0.088331691,0.445770699,-1.152512167,0.515756798,1,1,0
-0.609372939,0.787849885,0.034947617,-0.722963363,-1.582407893,1.066386069,0,1,1
0.101959156,-1.94621832,-0.413122041,-0.049079034,-0.58019571,0.686040512,0,0,0
1.47938666,-1.262342323,-0.681244567,-1.336998817,0.853063986,-1.51587258,1,0,0
0.307213436,-0.182884228,0.294738184,-1.290307834,-1.764919298,-0.045530464,0,1,0
1.441922216,-1.366657994,0.295612664,0.348204206,1.181549563,0.703664547,1,1,0
-0.110040085,2.153328196,0.154754432,-0.24461402,1.36073733,-2.771372427,1,1,1
0.124306683,-0.414206342,0.437804753,0.587030625,-0.266273038,-0.638167161,0,0,0
1.781326844,1.096788847,-0.057306853,1.990880204,-0.377720595,-0.683585684,1,1,1
-0.567465879,0.134198023,0.386781935,-0.571215988,1.305530607,1.253915239,1,1,0
-1.331622453,1.667530231,0.402697056,-0.293740511,-0.206444355,-0.032309442,0,0,1
-0.291742682,1.145541892,1.607424301,-0.376929522,-0.07624281,-0.6260458,0,1,0
0.941855668,-0.710541938,0.218652013,-0.132476707,-0.320190193,0.252073553,0,1,0
0.228635336,0.074704312,0.552502068,-1.573673754,-2.115682243,-0.648454037,0,1,0
1.518184325,-0.849436549,-0.04436681,0.113653954,0.383435771,0.558332356,1,0,1
-0.5024385,-0.323388725,-1.960720321,-0.436080906,0.477740366,1.067945407,1,1,1
-1.829824608,0.545855179,-1.626438552,-0.479031957,0.62229791,0.220645263,0,0,0
2.448245246,-0.25979119,0.589545827,-0.174431491,-2.202181399,-1.190901507,0,1,1
1.104939398,1.149789914,0.389664922,-0.645071833,0.224235597,-1.007827318,1,1,0
-1.835766377,3.484059036,1.290236176,0.125884805,-1.458813136,0.45952971,0,1,0
1.945389263,0.798972156,1.223869053,0.631184532,0.291007987,0.864366338,1,1,1
0.326628873,-0.478458405,-0.758011999,-1.001325348,-0.677106114,1.841281583,0,1,1
2.794848346,-0.889339652,-0.849828203,0.336565967,-1.385744321,0.621646256,1,1,1
2.715207475,1.198094422,0.56224975,0.715561597,-2.331080032,-0.535260588,1,1,1
1.419445282,-0.116832712,2.411582501,0.559670964,0.926095773,-0.502627488,0,1,0
1.324487305,0.486666351,0.665233252,-0.528834986,0.7269701,0.718086354,1,0,0
-1.282125192,0.722955752,-1.099567398,0.194079327,-0.934457384,0.402690793,0,1,0
3.918584093,-0.948227052,1.462200904,1.214832519,-0.748035177,-0.957525951,1,1,1
1.713380194,0.698294864,-0.213254945,1.814366502,0.603298442,-2.520823332,1,0,0
-0.493240758,-1.262428792,-0.743496246,-1.561883908,1.161886851,1.739282775,0,0,0
1.125664161,0.580804031,0.914576109,-0.221697517,-2.605393561,-1.121629691,0,1,1
1.523758931,0.077193797,-0.552920049,1.401975707,-3.638662026,0.931428278,0,1,1
2.155029421,-0.305971505,-0.058130324,0.113609079,0.846143638,-1.805890579,1,1,1
-0.520278132,-0.358741699,-1.198940473,-0.307622163,1.100406184,0.415243143,1,0,0
2.273526007,-0.671321811,0.955702427,0.628019966,0.728058142,-1.1536009,1,1,0
-0.608258633,-1.444379241,-1.283321599,-0.85955098,0.9857584,0.846603951,0,0,1
-0.343967235,-0.518824046,-3.359547597,1.596465945,3.381993643,0.05334364,1,0,1
0.042957214,-0.560061471,0.357839549,-0.932147996,0.075903108,1.227186806,0,0,0
1.56559959,-0.727587815,0.219062354,0.724662224,-0.622020824,1.37435623,0,1,0
0.422705984,-0.466469395,-0.685897136,0.639550144,-0.372586409,-0.448595172,1,1,1
0.266078318,-0.203408928,0.353366681,-0.105608319,-1.133988564,0.462334962,0,1,0
0.917945559,0.914703781,0.895286806,-0.754963083,0.805216033,-0.887278963,1,1,0
-0.39872009,0.502211226,-0.816484432,0.204651556,1.850440091,-0.469796014,1,1,1
-0.83529126,0.419055198,0.15248088,0.453042436,-1.040481538,-0.733994482,0,0,0
0.045280683,-0.742293318,-0.465376465,0.077529245,-0.809146084,-1.619991084,0,1,1
-0.030770264,1.1610039,-0.269166466,0.941881319,0.585150667,-0.377279336,1,0,1
-1.350330735,0.921344635,0.270953039,-0.560989822,-0.83858745,-0.65829565,0,1,1
-2.185652163,1.977475832,-0.701185311,-0.68715652,0.697063734,0.461697194,0,0,0
0.09124108,-0.272571058,-0.696436023,-0.093489602,0.699686871,-2.229630491,1,1,0
0.0587654,1.10102791,-0.050048219,-0.398114457,1.143113665,-3.152945794,1,1,0
1.259301009,-1.070831227,-0.126348921,1.460111513,-0.566912499,-0.23655712,1,1,0
2.595783344,-2.138019687,-0.351605129,1.430326177,-0.876238218,0.073586441,1,0,0
-0.095088178,-0.339517905,0.334525433,-2.666045526,-0.977891434,-0.173841674,0,1,1
0.646172779,0.597404515,1.120795453,-1.301324417,1.944532352,-0.687688235,1,1,0
-0.198856075,0.559748785,0.781426024,-0.211537784,-2.113997974,0.585183482,0,1,0
0.225981462,0.145331548,1.086597048,-0.426739996,-0.387785177,0.26585693,0,1,1
0.956413908,-0.156060852,1.603901295,-0.266689451,-0.335317681,-0.694985646,0,0,0
1.460835588,-1.013119814,0.828048676,-0.137776435,1.737608545,0.848417993,1,0,1
1.24903379,-1.526592747,0.821346876,-1.331679884,-0.24413803,0.470908742,0,1,0
0.715041542,-1.315327102,-0.949635666,-0.11501529,0.033646054,1.010053346,1,1,0
0.720599418,-0.715145149,-0.538140099,1.240075583,0.479899673,2.082273242,1,0,1
0.074930791,0.433394553,-0.554329605,0.881746206,-1.333043675,-0.697504684,0,1,0
1.622786867,-0.130724986,1.495565038,0.056139844,-0.353149688,0.960015735,0,1,1
0.319776776,0.37042313,-1.07529044,1.999959465,1.049730191,0.798187931,1,1,1
-0.012795186,0.042654566,-0.581770815,-0.762486117,2.811151379,-0.373664324,1,0,0
2.133953517,-1.422084052,0.781475642,-0.538010056,2.268237077,0.008010475,1,0,0
-2.778669224,3.366162054,-0.109290379,-1.294945453,-0.319111947,-1.037378397,0,1,1
2.547447028,0.008113315,0.438802606,1.079776821,1.297300973,0.00267232,1,1,1
2.799095454,0.765754686,0.778770151,2.104920494,0.567886754,-0.062200911,1,0,1
-0.307114373,0.157619549,-0.861895285,-0.737446676,2.035405155,-0.852736538,1,0,0
-0.544288992,-1.56209824,-0.983192873,1.026524525,-0.102547326,-0.143190577,0,0,0
0.160056108,-0.492524338,-0.911085539,-0.391884639,0.497891818,0.482544332,1,1,0
0.037272283,-0.573179839,-1.11098286,-1.378435307,-1.083176865,-0.380440454,1,1,0
1.391656132,1.494807546,-0.134777225,-0.313668474,-1.518391066,-0.763446161,1,0,0
1.170098404,-0.580523031,1.399220143,-0.582111087,0.03018625,-0.237776157,0,1,1
1.638191305,-0.331061378,0.285543674,-0.674624759,-3.978281033,-1.415022801,0,1,0
0.910253125,-0.877325505,-1.223208751,1.078877535,0.033069003,-0.770814447,1,0,0
2.101544023,0.381599636,1.756648007,0.549434126,0.718547686,-0.532470259,1,1,1
0.626174568,0.468546571,0.546505234,1.003593925,1.780231399,0.70801691,1,1,1
0.941058445,-0.617458459,1.170076605,-0.150610059,-0.839690054,2.337835839,0,1,0
1.088397957,-0.978392582,0.708014972,0.200412865,-0.959769682,0.829582614,0,1,0
